time,bit_size,delta_scale,delta_location,function,round,entropy,min_entropy,kl_divergence,statistical_distance
12811.03s,32,73323,5263,rot_26,4,15.999999,16,0,0.00000000011641532
13460.78s,32,73323,5263,rot_2,6,15.382488,12.188041,0.25,0.03125
13619.58s,32,73323,5263,rot_18,3,15.999999,16,0,0.00000000011641532
13759.83s,32,73323,5263,rot_3,1,3.8337438,1.9072365,12.036795,0.48813146
13802.13s,32,73323,5263,rot_26,5,15.999999,16,0,0.0000000004656613
14635.61s,32,73323,5263,rot_3,2,8.164979,5.5111923,7.498876,0.4248047
14779.61s,32,73323,5263,rot_26,6,15.999999,16,0,0.0000000004656613
14830.25s,32,73323,5263,rot_18,4,15.999999,16,0,0.00000000023283064
15071.13s,32,73323,5263,rot_27,1,3.8337438,1.9072365,12.036795,0.48813146
15502.81s,32,73323,5263,rot_3,3,11.498599,8.33298,3.408533,0.25
16039.34s,32,73323,5263,rot_18,5,15.999999,16,0,0.0000000004656613
16041.21s,32,73323,5263,rot_27,2,12.108064,9.754531,2,0.2211914
16374.10s,32,73323,5263,rot_3,4,14.1617775,10.880984,0.5,0.09375
17001.24s,32,73323,5263,rot_27,3,15.997149,15.838473,0.00024199483,0.00024414063
17236.37s,32,73323,5263,rot_3,5,15.52202,13.1799345,0.125,0.015625
17261.73s,32,73323,5263,rot_18,6,15.999999,16,0,0.0000000004656613
17549.30s,32,73323,5263,rot_19,1,3.8337438,1.9072365,12.036795,0.48813146
17955.39s,32,73323,5263,rot_27,4,16,16,0.000000014901161,0.0000000018626451
18102.06s,32,73323,5263,rot_3,6,15.906497,14.784949,0.015625,0.00390625
18394.33s,32,73323,5263,rot_4,1,3.8337438,1.9072365,12.036795,0.48813146
18768.08s,32,73323,5263,rot_19,2,16.00002,15.989309,0.000015164831,0.000030517578
18923.15s,32,73323,5263,rot_27,5,15.999999,16,0,0.00000000023283064
19259.65s,32,73323,5263,rot_4,2,8.710987,6.1734247,6.3790326,0.4030149
19878.43s,32,73323,5263,rot_27,6,15.999999,16,0,0.0000000004656613
19973.17s,32,73323,5263,rot_19,3,15.999999,16,0,0.00000000011641532
20124.03s,32,73323,5263,rot_4,3,12.711089,9.733397,2,0.1875
20182.21s,32,73323,5263,rot_28,1,3.8337438,1.9072365,12.036795,0.48813146
20992.23s,32,73323,5263,rot_4,4,14.864791,12.887571,0.125,0.015625
21115.41s,32,73323,5263,rot_28,2,11.149816,8.76529,3.5571663,0.27734375
21185.36s,32,73323,5263,rot_19,4,15.999999,16,0,0.00000000023283064
21864.52s,32,73323,5263,rot_4,5,15.834038,15.197709,0.0078125,0.001953125
22046.12s,32,73323,5263,rot_28,3,15.697286,14.585528,0.015625,0.00390625
22412.11s,32,73323,5263,rot_19,5,15.999999,16,0,0.0000000004656613
22739.89s,32,73323,5263,rot_4,6,16.003899,15.995464,0.000030517578,0.0000076293945
22981.03s,32,73323,5263,rot_28,4,16,16,-0.000000013038516,0.000000029802322
23037.62s,32,73323,5263,rot_5,1,3.8337438,1.9072365,12.036795,0.48813146
23634.65s,32,73323,5263,rot_19,6,15.999999,16,0,0.0000000004656613
23915.21s,32,73323,5263,rot_28,5,15.999999,16,0,0.0000000004656613
23921.56s,32,73323,5263,rot_5,2,9.166547,6.6103396,6.191532,0.394375
23928.10s,32,73323,5263,rot_20,1,3.8337438,1.9072365,12.036795,0.48813146
24808.45s,32,73323,5263,rot_5,3,13.874659,11.087503,1,0.0625
24858.47s,32,73323,5263,rot_28,6,15.999999,16,0,0.0000000004656613
25147.96s,32,73323,5263,rot_20,2,15.992185,15.815604,0.00049544114,0.00048828125
25150.63s,32,73323,5263,rot_29,1,3.8337438,1.9072365,12.036795,0.48813146
25698.56s,32,73323,5263,rot_5,4,15.807873,14.669039,0.015625,0.00390625
26086.17s,32,73323,5263,rot_29,2,10.5614395,7.9453754,4.118223,0.30395716
26355.63s,32,73323,5263,rot_20,3,15.999999,16,0,0.00000000011641532
26582.14s,32,73323,5263,rot_5,5,16,15.999982,-0.0000009536743,0.00000047683716
27020.05s,32,73323,5263,rot_29,3,14.959454,12.921792,0.125,0.015625
27451.21s,32,73323,5263,rot_5,6,15.999999,16,0,0.0000000009313226
27562.35s,32,73323,5263,rot_20,4,15.999999,16,0,0.00000000023283064
27746.19s,32,73323,5263,rot_6,1,3.8337438,1.9072365,12.036795,0.48813146
27961.74s,32,73323,5263,rot_29,4,15.999339,15.987474,0.0000038444987,0.000030517578
28687.01s,32,73323,5263,rot_6,2,10.158931,7.453147,5,0.34223092
28749.00s,32,73323,5263,rot_20,5,15.999999,16,0,0.0000000004656613
28896.89s,32,73323,5263,rot_29,5,15.999999,16,0,0.00000000023283064
29637.58s,32,73323,5263,rot_6,3,14.818056,12.738735,0.125,0.03125
29831.16s,32,73323,5263,rot_29,6,15.999999,16,0,0.0000000004656613
29964.05s,32,73323,5263,rot_20,6,15.999999,16,0,0.0000000004656613
30125.38s,32,73323,5263,rot_30,1,3.8337438,1.9072365,12.036795,0.48813146
30261.39s,32,73323,5263,rot_21,1,3.8337438,1.9072365,12.036795,0.48813146
30582.06s,32,73323,5263,rot_6,4,15.999017,15.94601,0.00024414063,0.00012207031
31010.01s,32,73323,5263,rot_30,2,9.645648,6.981434,5.288876,0.35325092
31254.77s,32,73323,5263,rot_21,2,15.893896,15.245221,0.0078125,0.001953125
31511.76s,32,73323,5263,rot_6,5,15.999999,16,0,0.0000000009313226
31889.38s,32,73323,5263,rot_30,3,13.961124,11.303644,0.5,0.0625
32254.28s,32,73323,5263,rot_21,3,15.999999,16,0,0.0000000002258285
32454.70s,32,73323,5263,rot_6,6,15.999999,16,0,0.0000000009313226
32744.64s,32,73323,5263,rot_7,1,3.8337438,1.9072365,12.036795,0.48813146
32771.15s,32,73323,5263,rot_30,4,15.850027,14.865118,0.015625,0.00390625
33260.79s,32,73323,5263,rot_21,4,15.999999,16,0,0.00000000046611603
33649.83s,32,73323,5263,rot_30,5,16,15.999731,0.00000006588833,0.0000019073486
33689.27s,32,73323,5263,rot_7,2,10.927234,8.415655,3.3472223,0.25
34251.25s,32,73323,5263,rot_21,5,15.999999,16,0,0.0000000004656613
34530.41s,32,73323,5263,rot_30,6,15.999999,16,0,0.00000000023283064
34641.79s,32,73323,5263,rot_7,3,15.515909,14.327609,0.03125,0.0078125
34830.32s,32,73323,5263,rot_31,1,3.8337438,1.9072365,12.036795,0.48813146
35250.62s,32,73323,5263,rot_21,6,15.999999,16,0,0.0000000004656613
35542.22s,32,73323,5263,rot_22,1,3.8337438,1.9072365,12.036795,0.48813146
35594.94s,32,73323,5263,rot_7,4,16,16,0,0.00000000046599125
35687.85s,32,73323,5263,rot_31,2,8.650882,6.037345,6.6629353,0.40625453
36538.27s,32,73323,5263,rot_22,2,15.555025,14.388638,0.03125,0.0078125
36546.37s,32,73323,5263,rot_31,3,12.720488,9.647801,2.0625,0.16894531
36548.10s,32,73323,5263,rot_7,5,16,16,0,0.0000000009313226
37404.62s,32,73323,5263,rot_31,4,15.151366,12.743414,0.125,0.03125
37512.70s,32,73323,5263,rot_7,6,15.999999,16,0,0.00000000023283064
37517.14s,32,73323,5263,rot_22,3,15.999999,16,0,0.00000000011641532
37803.97s,32,73323,5263,rot_8,1,3.8337438,1.9072365,12.036795,0.48813146
38267.22s,32,73323,5263,rot_31,5,15.950472,15.067806,0.0078125,0.001953125
38500.84s,32,73323,5263,rot_22,4,15.999999,16,0,0.00000000023283064
38798.99s,32,73323,5263,rot_8,2,11.81825,9.325389,2.5,0.25
39138.64s,32,73323,5263,rot_31,6,15.997518,15.966657,0.000024557106,0.000061035156
39435.01s,32,73323,5263,rot_32,1,3.8337438,1.9072365,12.036795,0.48813146
39492.89s,32,73323,5263,rot_22,5,15.999999,16,0,0.0000000004656613
39797.77s,32,73323,5263,rot_8,3,15.989063,15.6934,0.001953125,0.00048828125
40301.25s,32,73323,5263,rot_32,2,7.96403,5.4302816,7.547451,0.43424127
40471.30s,32,73323,5263,rot_22,6,15.999999,16,0,0.0000000004656613
40764.06s,32,73323,5263,rot_23,1,3.8337438,1.9072365,12.036795,0.48813146
40804.05s,32,73323,5263,rot_8,4,15.999999,16,0,0.00000000011641532
41172.84s,32,73323,5263,rot_32,3,11.081385,7.773868,3.5,0.26311383
41743.71s,32,73323,5263,rot_23,2,14.992879,13.438731,0.0625,0.015625
41774.80s,32,73323,5263,rot_8,5,15.999999,16,0,0.0000000004656613
42028.22s,32,73323,5263,rot_32,4,13.715212,10.172006,1.375,0.125
42731.11s,32,73323,5263,rot_23,3,16,16,0.000000029802322,0.000000059604645
42762.44s,32,73323,5263,rot_8,6,15.999999,16,0,0.0000000004656613
42888.20s,32,73323,5263,rot_32,5,15.246397,12.329687,0.25,0.03125
43059.04s,32,73323,5263,rot_9,1,3.8337438,1.9072365,12.036795,0.48813146
43727.10s,32,73323,5263,rot_23,4,15.999999,16,0,0.00000000011641532
43746.53s,32,73323,5263,rot_32,6,15.769093,13.896274,0.0625,0.0078125
44037.20s,32,73323,5263,rot_13,1,3.8337438,1.9072365,12.036795,0.48813146
44070.27s,32,73323,5263,rot_9,2,12.696008,10.283795,1.75,0.125
44726.03s,32,73323,5263,rot_23,5,15.999999,16,0,0.0000000004656613
45056.72s,32,73323,5263,rot_9,3,16.003168,15.998677,-0.000015258789,0.0000038146973
45119.31s,32,73323,5263,rot_13,2,15.329206,13.91279,0.0625,0.0078125
45727.03s,32,73323,5263,rot_23,6,15.999999,16,0,0.0000000004656613
46021.75s,32,73323,5263,rot_24,1,3.8337438,1.9072365,12.036795,0.48813146
46062.93s,32,73323,5263,rot_9,4,16,16,0,0.00000000069849193
46207.00s,32,73323,5263,rot_13,3,16,15.999995,-0.00000047683716,0.00000023841858
47003.36s,32,73323,5263,rot_24,2,14.220447,12.449839,0.25,0.03125
47034.66s,32,73323,5263,rot_9,5,15.999999,16,0,0.0000000004656613
47283.80s,32,73323,5263,rot_13,4,16,16,0,0
48001.79s,32,73323,5263,rot_24,3,16,15.999982,0.000000055736237,0.00000047683716
48015.11s,32,73323,5263,rot_9,6,15.999999,16,0,0.0000000004656613
48305.93s,32,73323,5263,rot_10,1,3.8337438,1.9072365,12.036795,0.48813146
48380.37s,32,73323,5263,rot_13,5,15.999999,16,0,0.00000000023283064
48984.89s,32,73323,5263,rot_24,4,15.999999,16,0,0.00000000011641532
49309.26s,32,73323,5263,rot_10,2,13.218316,11.24499,0.84375,0.0625
49467.68s,32,73323,5263,rot_13,6,15.999999,16,0,0.0000000004656613
49760.21s,32,73323,5263,rot_14,1,3.8337438,1.9072365,12.036795,0.48813146
49982.95s,32,73323,5263,rot_24,5,15.999999,16,0,0.0000000004656613
50326.03s,32,73323,5263,rot_10,3,16,16,0.00000000036632297,0.0000000018626842
50811.60s,32,73323,5263,rot_14,2,15.748315,14.75838,0.015625,0.00390625
50977.09s,32,73323,5263,rot_24,6,15.999999,16,0,0.0000000004656613
51268.10s,32,73323,5263,rot_15,1,3.8337438,1.9072365,12.036795,0.48813146
51348.86s,32,73323,5263,rot_10,4,15.999999,16,0,0.0000000009313226
51850.81s,32,73323,5263,rot_14,3,16,16,0.000000029802322,0.000000014901161
52352.76s,32,73323,5263,rot_10,5,15.999999,16,0,0.0000000004656613
52424.71s,32,73323,5263,rot_15,2,15.958772,15.522042,0.00390625,0.0009765625
52899.68s,32,73323,5263,rot_14,4,15.999999,16,0,0.0000000004656613
53366.40s,32,73323,5263,rot_10,6,15.999999,16,0,0.0000000004656613
53593.07s,32,73323,5263,rot_15,3,15.999999,16,0,0.0000000004672671
53677.85s,32,73323,5263,rot_11,1,3.8337438,1.9072365,12.036795,0.48813146
53981.49s,32,73323,5263,rot_14,5,15.999999,16,0,0.0000000004656613
54769.82s,32,73323,5263,rot_11,2,14.169544,12.250214,0.25,0.03125
54778.19s,32,73323,5263,rot_15,4,15.999999,16,0,0.00000000011641532
55085.45s,32,73323,5263,rot_14,6,15.999999,16,0,0.0000000009313226
55392.60s,32,73323,5263,rot_16,1,3.8337438,1.9072365,12.036795,0.48813146
55918.15s,32,73323,5263,rot_11,3,16,16,0.000000014901161,0.0000000037252903
56019.05s,32,73323,5263,rot_15,5,15.999999,16,0,0.0000000004656613
56708.65s,32,73323,5263,rot_16,2,15.997486,15.916317,-0.00048828125,0.00012207031
57079.32s,32,73323,5263,rot_11,4,15.999999,16,0,0.00000000011641532
57285.55s,32,73323,5263,rot_15,6,15.999999,16,0,0.0000000004656613
58095.69s,32,73323,5263,rot_16,3,15.999999,16,0,0.00000000011641532
58281.72s,32,73323,5263,rot_11,5,15.999999,16,0,0.0000000004656613
59412.73s,32,73323,5263,rot_16,4,15.999999,16,0,0.00000000023283064
59447.78s,32,73323,5263,rot_11,6,15.999999,16,0,0.0000000004656613
59782.17s,32,73323,5263,rot_12,1,3.8337438,1.9072365,12.036795,0.48813146
60660.23s,32,73323,5263,rot_16,5,15.999999,16,0,0.0000000004656613
60837.44s,32,73323,5263,rot_12,2,14.841035,13.199215,0.125,0.015625
61849.50s,32,73323,5263,rot_16,6,15.999999,16,0,0.0000000004656613
61896.95s,32,73323,5263,rot_12,3,16,16,-0.00000011920929,0.000000059604645
62949.94s,32,73323,5263,rot_12,4,16,16,0,0
64007.10s,32,73323,5263,rot_12,5,15.999999,16,0,0.00000000023283064
65065.68s,32,73323,5263,rot_12,6,15.999999,16,0,0.0000000004656613
