time,bit_size,delta_scale,delta_location,function,round,entropy,min_entropy,kl_divergence,statistical_distance
65.28s,32,73323,5263,data_distrib,0,1.1798857,0.4512866,30.817047,0.5019531
2880.14s,32,73323,5263,T1,1,3.8337438,1.9072362,12.036795,0.4881314
2972.11s,32,73323,5263,T4,4,7.1278057,5.1373034,8.422808,0.4575086
3005.76s,32,73323,5263,T5,5,7.711454,5.7213416,7.9078503,0.4498628
3544.09s,32,73323,5263,T2,2,5.3962784,3.431155,10.340855,0.477985
3649.80s,32,73323,5263,T6,6,8.190752,6.2057033,7.3369865,0.43508235
4316.99s,32,73323,5263,T3,3,6.392648,4.4013977,9.241299,0.4677788
4630.53s,32,73323,5263,rot_17,1,3.8337438,1.9072365,12.036795,0.48813146
4633.79s,32,73323,5263,rot_1,1,3.8337438,1.9072365,12.036795,0.48813146
4635.51s,32,73323,5263,rot_25,1,3.8337438,1.9072365,12.036795,0.48813146
5485.98s,32,73323,5263,rot_1,2,7.301579,4.6893535,8.411133,0.4580078
5626.11s,32,73323,5263,rot_25,2,13.338794,11.453705,0.5,0.0625
5867.95s,32,73323,5263,rot_17,2,15.996744,15.995788,-0.000015258789,0.0000076293945
6342.85s,32,73323,5263,rot_1,3,8.933942,6.3086762,5.625,0.33184844
6608.23s,32,73323,5263,rot_25,3,16.000002,15.999929,-0.00000028297598,0.0000009536743
7117.25s,32,73323,5263,rot_17,3,16,16,0,0.00000000051081095
7172.11s,32,73323,5263,rot_1,4,10.119065,7.6514754,4.385738,0.28819445
7593.08s,32,73323,5263,rot_25,4,15.999999,16,0,0.00000000011641532
8033.46s,32,73323,5263,rot_1,5,10.962074,8.444914,3,0.1875
8365.76s,32,73323,5263,rot_17,4,15.999999,16,0,0.00000000011641532
8574.40s,32,73323,5263,rot_25,5,15.999999,16,0,0.0000000004656613
8894.30s,32,73323,5263,rot_1,6,11.672616,9.232181,3,0.25
9180.91s,32,73323,5263,rot_2,1,3.8337438,1.9072365,12.036795,0.48813146
9561.68s,32,73323,5263,rot_25,6,15.999999,16,0,0.0000000004656613
9603.71s,32,73323,5263,rot_17,5,15.999999,16,0,0.0000000004656613
9855.02s,32,73323,5263,rot_26,1,3.8337438,1.9072365,12.036795,0.48813146
10046.89s,32,73323,5263,rot_2,2,7.2417135,4.594236,8.213867,0.46240234
10840.61s,32,73323,5263,rot_26,2,13.056412,10.750809,1,0.125
10848.06s,32,73323,5263,rot_17,6,15.999999,16,0,0.0000000004656613
10893.28s,32,73323,5263,rot_2,3,10.037047,6.9655023,4.116578,0.29308292
11146.06s,32,73323,5263,rot_18,1,3.8337438,1.9072365,12.036795,0.48813146
11732.93s,32,73323,5263,rot_2,4,12.543824,9.011383,2.3333333,0.1875
11828.89s,32,73323,5263,rot_26,3,16.000002,15.999982,0.0000000007895551,0.00000047683716
12387.94s,32,73323,5263,rot_18,2,15.999999,15.999928,-0.00000010313197,0.0000009536743
12590.04s,32,73323,5263,rot_2,5,14.297247,10.610772,1,0.125
