time,bit_size,delta_scale,delta_location,function,round,entropy,min_entropy,kl_divergence,statistical_distance
68.56s,32,48125,3804,data_distrib,0,1.1798857,0.4512866,30.817047,0.5019531
3150.85s,32,48125,3804,T1,1,3.2483027,1.408103,12.672449,0.4907403
3240.85s,32,48125,3804,T4,4,6.521856,4.5347147,9.08123,0.46651417
3251.64s,32,48125,3804,T2,2,4.7932253,2.8494382,10.999029,0.48257598
3963.21s,32,48125,3804,T5,5,7.1055193,5.1130524,8.438016,0.45757055
4095.90s,32,48125,3804,T6,6,7.589575,5.5985255,8,0.44995266
4449.65s,32,48125,3804,T3,3,5.787186,3.7980428,9.910885,0.47410488
4756.45s,32,48125,3804,rot_25,1,3.2483017,1.408103,12.67245,0.49074036
4759.68s,32,48125,3804,rot_17,1,3.2483017,1.408103,12.67245,0.49074036
4762.14s,32,48125,3804,rot_1,1,3.2483017,1.408103,12.67245,0.49074036
5626.95s,32,48125,3804,rot_1,2,6.757266,3.9864738,8.903977,0.46604475
5744.31s,32,48125,3804,rot_25,2,12.785822,10.873526,1,0.125
6005.37s,32,48125,3804,rot_17,2,15.998804,15.97192,-0.00012207031,0.000061035156
6495.07s,32,48125,3804,rot_1,3,8.368767,5.7155476,6.375,0.37241417
6717.59s,32,48125,3804,rot_25,3,16.000015,15.999736,0.00000027139905,0.0000019073486
7259.61s,32,48125,3804,rot_17,3,16,16,0.000000014901161,0.000000007450581
7337.77s,32,48125,3804,rot_1,4,9.585636,7.1548595,5.262857,0.34878471
7700.55s,32,48125,3804,rot_25,4,15.999999,16,0,0.0000000004656613
8187.14s,32,48125,3804,rot_1,5,10.371113,7.9270205,3.8342547,0.25
8500.72s,32,48125,3804,rot_17,4,16,16,0,0
8692.22s,32,48125,3804,rot_25,5,15.999999,16,0,0.00000000023283064
9045.99s,32,48125,3804,rot_1,6,11.1001,8.657478,3.5,0.375
9342.31s,32,48125,3804,rot_2,1,3.2483017,1.408103,12.67245,0.49074036
9685.41s,32,48125,3804,rot_25,6,15.999999,16,0,0.0000000004656613
9761.50s,32,48125,3804,rot_17,5,16,16,0,0
10095.81s,32,48125,3804,rot_26,1,3.2483017,1.408103,12.67245,0.49074036
10460.04s,32,48125,3804,rot_2,2,6.652859,3.996716,8.8501835,0.45318604
11425.25s,32,48125,3804,rot_26,2,12.498034,10.1674385,2,0.125
11526.45s,32,48125,3804,rot_17,6,15.999999,16,0,0.00000000023283064
11642.24s,32,48125,3804,rot_2,3,9.499412,6.402519,5.46875,0.35602212
11904.23s,32,48125,3804,rot_18,1,3.2483017,1.408103,12.67245,0.49074036
12715.40s,32,48125,3804,rot_26,3,16.000004,15.998944,0.00000034916854,0.0000038146973
12763.35s,32,48125,3804,rot_2,4,12.0518875,8.521915,2.5833333,0.1953125
13846.54s,32,48125,3804,rot_18,2,16.000408,15.998569,-0.000014042791,0.0000076293945
14155.91s,32,48125,3804,rot_2,5,13.902209,10.15277,1.5,0.125
14307.87s,32,48125,3804,rot_26,4,15.999999,16,0,0.0000000004656613
15580.27s,32,48125,3804,rot_2,6,15.149063,11.717632,0.5,0.0625
16055.25s,32,48125,3804,rot_26,5,15.999999,16,0,0.00000000023283064
16069.24s,32,48125,3804,rot_18,3,15.999999,16,0,0.00000000020825902
16091.23s,32,48125,3804,rot_3,1,3.2483017,1.408103,12.67245,0.49074036
17565.66s,32,48125,3804,rot_3,2,7.611138,4.8141775,8.253273,0.44970703
17721.20s,32,48125,3804,rot_26,6,15.999999,16,0,0.0000000004656613
18230.92s,32,48125,3804,rot_27,1,3.2483017,1.408103,12.67245,0.49074036
18337.40s,32,48125,3804,rot_18,4,15.999999,16,0,0.0000000004656613
19071.75s,32,48125,3804,rot_3,3,10.970554,7.598477,3.46875,0.265625
19882.60s,32,48125,3804,rot_27,2,11.535692,9.172187,3.2950594,0.25
20605.31s,32,48125,3804,rot_18,5,15.999999,16,0,0.00000000023283064
20682.58s,32,48125,3804,rot_3,4,13.774559,10.153202,1,0.125
21776.47s,32,48125,3804,rot_27,3,15.970134,15.598413,0.0009765625,0.0009765625
22233.45s,32,48125,3804,rot_3,5,15.344336,12.478653,0.25,0.03125
22871.57s,32,48125,3804,rot_18,6,15.999999,16,0,0.0000000004656613
23381.51s,32,48125,3804,rot_19,1,3.2483017,1.408103,12.67245,0.49074036
23460.42s,32,48125,3804,rot_27,4,16,16,0.000000029540388,0.000000014901161
23737.76s,32,48125,3804,rot_3,6,15.826044,14.236591,0.03125,0.0078125
24210.18s,32,48125,3804,rot_4,1,3.2483017,1.408103,12.67245,0.49074036
25086.18s,32,48125,3804,rot_27,5,16,16,0,0
25532.14s,32,48125,3804,rot_19,2,15.999088,15.93215,0.00024264539,0.00024414063
25818.43s,32,48125,3804,rot_4,2,8.163261,5.5226474,7.331585,0.42435855
26676.12s,32,48125,3804,rot_27,6,15.999999,16,0,0.00000000023283064
27165.72s,32,48125,3804,rot_28,1,3.2483017,1.408103,12.67245,0.49074036
27297.54s,32,48125,3804,rot_4,3,12.227344,9.073924,2.375,0.234375
27756.18s,32,48125,3804,rot_19,3,15.999999,16,0,0.00000000011641532
28802.76s,32,48125,3804,rot_4,4,14.58017,12.311762,0.25,0.03125
28815.09s,32,48125,3804,rot_28,2,10.566447,8.182708,4.2626953,0.3171997
30032.45s,32,48125,3804,rot_19,4,15.999999,16,0,0.0000000004656613
30449.84s,32,48125,3804,rot_28,3,15.456585,14.07137,0.03125,0.0078125
