time,bit_size,delta_scale,delta_location,function,round,entropy,min_entropy,kl_divergence,statistical_distance
56490.17s,32,444592,-2986,rot_8,7,15.999999,16,0,0.0000000004656613
56949.38s,32,444592,-2986,rot_23,3,16,16,0,0
57050.66s,32,444592,-2986,rot_32,6,15.986074,15.642398,0.001953125,0.0009765625
57492.51s,32,444592,-2986,rot_8,8,15.999999,16,0,0.0000000004656613
57781.44s,32,444592,-2986,rot_9,1,6.407681,4.4212637,9.209401,0.46799088
57896.78s,32,444592,-2986,rot_32,7,15.996161,15.9496565,-0.000061035153,0.00012207031
57927.52s,32,444592,-2986,rot_23,4,15.999999,16,0,0.00000000011641532
58765.99s,32,444592,-2986,rot_9,2,14.52257,12.902893,0.125,0.015625
58769.55s,32,444592,-2986,rot_32,8,16,15.999665,0.0000009536741,0.0000019073486
58922.65s,32,444592,-2986,rot_23,5,15.999999,16,0,0.0000000004656613
59069.66s,32,444592,-2986,rot_13,1,6.407681,4.4212637,9.209401,0.46799088
59768.37s,32,444592,-2986,rot_9,3,16,16,0,0
59915.35s,32,444592,-2986,rot_23,6,15.999999,16,0,0.0000000004656613
60158.84s,32,444592,-2986,rot_13,2,15.993713,15.803611,0.0009765625,0.00048828125
60756.81s,32,444592,-2986,rot_9,4,15.999999,16,0,0.00000000011641532
60922.47s,32,444592,-2986,rot_23,7,15.999999,16,0,0.0000000004656613
61247.32s,32,444592,-2986,rot_13,3,16,16,0,0
61747.47s,32,444592,-2986,rot_9,5,15.999999,16,0,0.0000000004656613
61915.31s,32,444592,-2986,rot_23,8,15.999999,16,0,0.0000000004656613
62199.85s,32,444592,-2986,rot_24,1,6.407681,4.4212637,9.209401,0.46799088
62331.89s,32,444592,-2986,rot_13,4,15.999999,16,0,0.00000000011641532
62726.26s,32,444592,-2986,rot_9,6,15.999999,16,0,0.0000000004656613
63183.65s,32,444592,-2986,rot_24,2,15.795719,14.897118,0.015625,0.00390625
63406.82s,32,444592,-2986,rot_13,5,15.999999,16,0,0.0000000004656613
63741.30s,32,444592,-2986,rot_9,7,15.999999,16,0,0.0000000004656613
64158.83s,32,444592,-2986,rot_24,3,16,16,0.000000014901161,0.0000000018626451
