time,bit_size,delta_scale,delta_location,function,round,entropy,min_entropy,kl_divergence,statistical_distance
64.51s,32,47339,7476,data_distrib,0,1.1798857,0.4512866,30.817047,0.5019531
2931.45s,32,47339,7476,T1,1,3.2245693,1.3803751,12.697777,0.49084646
3000.60s,32,47339,7476,T4,4,6.49809,4.5060954,9.105116,0.46660027
3074.07s,32,47339,7476,T5,5,7.0815763,5.090447,8.4491005,0.45746818
3632.43s,32,47339,7476,T2,2,4.769621,2.8604143,11.0238695,0.4826535
3773.75s,32,47339,7476,T6,6,7.5659924,5.5739326,8,0.45006797
4546.31s,32,47339,7476,T3,3,5.7635264,3.775097,9.942526,0.47483647
5029.11s,32,47339,7476,rot_9,1,3.2245705,1.3803751,12.697777,0.4908465
5032.29s,32,47339,7476,rot_17,1,3.2245705,1.3803751,12.697777,0.4908465
5043.56s,32,47339,7476,rot_1,1,3.2245705,1.3803751,12.697777,0.4908465
6109.30s,32,47339,7476,rot_1,2,6.7492347,3.9751248,8.89794,0.46629116
6260.17s,32,47339,7476,rot_9,2,12.139189,9.650579,2.5,0.2265625
6414.68s,32,47339,7476,rot_17,2,16.001165,15.967904,0.00024414063,0.000061035156
6970.22s,32,47339,7476,rot_1,3,8.356944,5.724781,6.46875,0.37005687
7245.76s,32,47339,7476,rot_9,3,15.998305,15.971919,0.00012207031,0.000061035156
7667.04s,32,47339,7476,rot_17,3,16,16,-0.000000014901161,0.000000007450581
7821.53s,32,47339,7476,rot_1,4,9.567653,7.1990128,5.313039,0.34799272
8242.76s,32,47339,7476,rot_9,4,16,16,0.000000000095828234,0.000000001026366
8667.49s,32,47339,7476,rot_1,5,10.350719,7.932628,3.9577577,0.25
8908.98s,32,47339,7476,rot_17,4,15.999999,16,0,0.00000000011641532
9243.34s,32,47339,7476,rot_9,5,16,16,0,0.0000000009313226
9507.70s,32,47339,7476,rot_1,6,11.083933,8.659283,3.5,0.375
9791.55s,32,47339,7476,rot_2,1,3.2245705,1.3803751,12.697777,0.4908465
10151.15s,32,47339,7476,rot_17,5,15.999999,16,0,0.00000000023283064
10227.79s,32,47339,7476,rot_9,6,16,16,0,0
10519.71s,32,47339,7476,rot_10,1,3.2245705,1.3803751,12.697777,0.4908465
10648.42s,32,47339,7476,rot_2,2,6.626176,3.9744875,8.944309,0.4501953
11382.11s,32,47339,7476,rot_17,6,15.999999,16,0,0.00000000011641532
11497.80s,32,47339,7476,rot_2,3,9.474081,6.412658,5.535714,0.36132813
11510.76s,32,47339,7476,rot_10,2,12.749679,10.639083,1,0.125
11681.25s,32,47339,7476,rot_18,1,3.2245705,1.3803751,12.697777,0.4908465
12362.00s,32,47339,7476,rot_2,4,12.032284,8.559533,2.6111112,0.1953125
12512.60s,32,47339,7476,rot_10,3,16,16,0.000000014901161,0.000000007450581
12916.94s,32,47339,7476,rot_18,2,16.001047,15.998726,-0.000021155942,0.0000076293945
13228.27s,32,47339,7476,rot_2,5,13.884659,10.173537,1.5,0.125
13517.25s,32,47339,7476,rot_10,4,15.999999,16,0,0.0000000004656613
14086.06s,32,47339,7476,rot_2,6,15.137986,11.734142,0.5,0.0625
14153.85s,32,47339,7476,rot_18,3,16,16,0,0
14376.80s,32,47339,7476,rot_3,1,3.2245705,1.3803751,12.697777,0.4908465
14523.87s,32,47339,7476,rot_10,5,15.999999,16,0,0.0000000004656613
15244.55s,32,47339,7476,rot_3,2,7.603897,4.819285,8.148101,0.45629883
15381.29s,32,47339,7476,rot_18,4,15.999999,16,0,0.00000000011641532
15529.59s,32,47339,7476,rot_10,6,15.999999,16,0,0.00000000023283064
15818.90s,32,47339,7476,rot_11,1,3.2245705,1.3803751,12.697777,0.4908465
16113.00s,32,47339,7476,rot_3,3,10.966487,7.608451,3.565625,0.28125
16612.83s,32,47339,7476,rot_18,5,15.999999,16,0,0.00000000023283064
16874.99s,32,47339,7476,rot_11,2,13.745102,11.632884,0.5,0.0625
16966.59s,32,47339,7476,rot_3,4,13.771738,10.160906,1,0.125
17806.11s,32,47339,7476,rot_3,5,15.345291,12.486927,0.25,0.03125
17824.09s,32,47339,7476,rot_18,6,15.999999,16,0,0.00000000011641532
17901.10s,32,47339,7476,rot_11,3,16,16,0.000000059604645,0.000000014901161
18124.27s,32,47339,7476,rot_19,1,3.2245705,1.3803751,12.697777,0.4908465
18671.93s,32,47339,7476,rot_3,6,15.828772,14.240321,0.03125,0.0078125
18954.50s,32,47339,7476,rot_11,4,15.999999,16,0,0.00000000011641532
18964.21s,32,47339,7476,rot_4,1,3.2245705,1.3803751,12.697777,0.4908465
19350.85s,32,47339,7476,rot_19,2,15.997694,15.940244,0.0002450943,0.00024414063
19826.80s,32,47339,7476,rot_4,2,8.15676,5.540568,7.2027807,0.43079305
20018.79s,32,47339,7476,rot_11,5,15.999999,16,0,0.00000000023283064
20573.50s,32,47339,7476,rot_19,3,16,16,0,0
20694.19s,32,47339,7476,rot_4,3,12.221705,9.091591,2.375,0.25
21067.82s,32,47339,7476,rot_11,6,15.999999,16,0,0.00000000011641532
21361.88s,32,47339,7476,rot_12,1,3.2245705,1.3803751,12.697777,0.4908465
21566.32s,32,47339,7476,rot_4,4,14.572214,12.322308,0.25,0.03125
21786.13s,32,47339,7476,rot_19,4,15.999999,16,0,0.00000000011641532
22421.19s,32,47339,7476,rot_12,2,14.478569,12.6107645,0.25,0.03125
22428.15s,32,47339,7476,rot_4,5,15.718238,14.836753,0.015625,0.00390625
23000.39s,32,47339,7476,rot_19,5,15.999999,16,0,0.00000000023283064
23291.23s,32,47339,7476,rot_4,6,16.00665,15.977627,0.00012207031,0.000061035156
23478.34s,32,47339,7476,rot_12,3,16,15.999996,-0.00000047683716,0.00000012277187
23583.33s,32,47339,7476,rot_5,1,3.2245705,1.3803751,12.697777,0.4908465
