time,bit_size,delta_scale,delta_location,function,round,entropy,min_entropy,kl_divergence,statistical_distance
24201.80s,32,47339,7476,rot_19,6,15.999999,16,0,0.00000000011641532
24470.29s,32,47339,7476,rot_5,2,8.582948,6.109612,6.540216,0.40680805
24496.32s,32,47339,7476,rot_20,1,3.2245705,1.3803751,12.697777,0.4908465
24535.47s,32,47339,7476,rot_12,4,16,16,0,0.0000000009313226
25354.46s,32,47339,7476,rot_5,3,13.408627,10.582891,1,0.125
25588.67s,32,47339,7476,rot_12,5,15.999999,16,0,0.00000000011641532
25699.10s,32,47339,7476,rot_20,2,15.954723,15.548751,0.0009908342,0.0009765625
26230.44s,32,47339,7476,rot_5,4,15.643942,14.236614,0.03125,0.0078125
26623.73s,32,47339,7476,rot_12,6,15.999999,16,0,0.00000000011641532
26898.78s,32,47339,7476,rot_20,3,16,16,0,0
26919.55s,32,47339,7476,rot_13,1,3.2245705,1.3803751,12.697777,0.4908465
27120.55s,32,47339,7476,rot_5,5,15.996836,15.994463,-0.000030517578,0.0000076293945
27981.61s,32,47339,7476,rot_13,2,14.984125,13.378061,0.125,0.015625
28001.72s,32,47339,7476,rot_5,6,16,16,0.0000000020954758,0.0000000018626451
28099.25s,32,47339,7476,rot_20,4,15.999999,16,0,0.00000000011641532
28297.92s,32,47339,7476,rot_6,1,3.2245705,1.3803751,12.697777,0.4908465
29049.72s,32,47339,7476,rot_13,3,15.999999,15.999979,-0.0000019073486,0.00000047683716
29224.65s,32,47339,7476,rot_6,2,9.535535,6.793923,5.7872458,0.38307762
29294.23s,32,47339,7476,rot_20,5,15.999999,16,0,0.00000000023283064
30118.55s,32,47339,7476,rot_13,4,15.999999,16,0,0.00000000011641532
30154.99s,32,47339,7476,rot_6,3,14.468711,12.1048765,0.25,0.03125
30510.99s,32,47339,7476,rot_20,6,15.999999,16,0,0.00000000011641532
30802.48s,32,47339,7476,rot_21,1,3.2245705,1.3803751,12.697777,0.4908465
31093.21s,32,47339,7476,rot_6,4,15.9902525,15.791388,0.0009765625,0.00048828125
31188.24s,32,47339,7476,rot_13,5,15.999999,16,0,0.00000000023283064
31792.06s,32,47339,7476,rot_21,2,15.720972,14.781972,0.015625,0.00390625
32035.09s,32,47339,7476,rot_6,5,15.999999,16,0,0.00000000023677738
32275.00s,32,47339,7476,rot_13,6,15.999999,16,0,0.00000000011641532
32560.62s,32,47339,7476,rot_14,1,3.2245705,1.3803751,12.697777,0.4908465
32802.89s,32,47339,7476,rot_21,3,16,16,0,0.0000000009313226
32973.54s,32,47339,7476,rot_6,6,15.999999,16,0,0.0000000009313226
33262.25s,32,47339,7476,rot_7,1,3.2245705,1.3803751,12.697777,0.4908465
33606.81s,32,47339,7476,rot_14,2,15.490343,14.2070875,0.03125,0.0078125
33811.94s,32,47339,7476,rot_21,4,15.999999,16,0,0.00000000011641532
34216.66s,32,47339,7476,rot_7,2,10.351107,7.81012,3.699375,0.29635414
34641.74s,32,47339,7476,rot_14,3,16,16,0.00000011920929,0.000000059604645
34815.49s,32,47339,7476,rot_21,5,15.999999,16,0,0.00000000023283064
35176.32s,32,47339,7476,rot_7,3,15.277452,13.83986,0.0625,0.0078125
35666.91s,32,47339,7476,rot_14,4,16,16,0,0.0000000009313226
35801.18s,32,47339,7476,rot_21,6,15.999999,16,0,0.00000000011641532
36087.13s,32,47339,7476,rot_22,1,3.2245705,1.3803751,12.697777,0.4908465
36132.31s,32,47339,7476,rot_7,4,16,16,0.00000000000062350125,0.0000000009326675
36703.21s,32,47339,7476,rot_14,5,15.999999,16,0,0.00000000011641532
37081.12s,32,47339,7476,rot_22,2,15.211531,13.848891,0.0625,0.0078125
37084.15s,32,47339,7476,rot_7,5,15.999999,16,0,0.00000000023283064
37742.68s,32,47339,7476,rot_14,6,15.999999,16,0,0.00000000011641532
38038.91s,32,47339,7476,rot_15,1,3.2245705,1.3803751,12.697777,0.4908465
38044.57s,32,47339,7476,rot_7,6,15.999999,16,0,0.00000000011641532
38062.21s,32,47339,7476,rot_22,3,16,16,0.000000014901161,0.0000000018626451
38336.65s,32,47339,7476,rot_8,1,3.2245705,1.3803751,12.697777,0.4908465
39044.77s,32,47339,7476,rot_22,4,15.999999,16,0,0.00000000011641532
39195.13s,32,47339,7476,rot_15,2,15.853309,15.103557,0.0078125,0.001953125
39310.58s,32,47339,7476,rot_8,2,11.235369,8.6999235,3.4150927,0.25
40014.69s,32,47339,7476,rot_22,5,15.999999,16,0,0.00000000023283064
40296.16s,32,47339,7476,rot_8,3,15.945224,15.365158,0.00390625,0.001953125
40350.28s,32,47339,7476,rot_15,3,16,16,0.000000014799298,0.0000000037252903
40998.15s,32,47339,7476,rot_22,6,15.999999,16,0,0.00000000011641532
41267.95s,32,47339,7476,rot_8,4,15.999999,16,0,0.00000000012369128
41294.06s,32,47339,7476,rot_23,1,3.2245705,1.3803751,12.697777,0.4908465
41509.26s,32,47339,7476,rot_15,4,15.999999,16,0,0.0000000004656613
42245.55s,32,47339,7476,rot_8,5,15.999999,16,0,0.00000000023283064
42267.09s,32,47339,7476,rot_23,2,14.532658,12.876682,0.125,0.03125
42667.74s,32,47339,7476,rot_15,5,15.999999,16,0,0.0000000004656613
43228.69s,32,47339,7476,rot_8,6,15.999999,16,0,0.00000000011641532
43237.99s,32,47339,7476,rot_23,3,16,15.999999,0.00000011880911,0.00000011920929
43516.00s,32,47339,7476,rot_25,1,3.2245705,1.3803751,12.697777,0.4908465
43822.48s,32,47339,7476,rot_15,6,15.999999,16,0,0.00000000023283064
44111.06s,32,47339,7476,rot_16,1,3.2245705,1.3803751,12.697777,0.4908465
44213.58s,32,47339,7476,rot_23,4,15.999999,16,0,0.00000000011641532
44502.77s,32,47339,7476,rot_25,2,12.765047,10.88393,1,0.125
45179.35s,32,47339,7476,rot_23,5,15.999999,16,0,0.00000000023283064
45338.46s,32,47339,7476,rot_16,2,15.986691,15.708386,0.001953125,0.00048828125
45485.67s,32,47339,7476,rot_25,3,16.000021,15.999735,-0.0000007527473,0.0000019073486
46162.99s,32,47339,7476,rot_23,6,15.999999,16,0,0.00000000011641532
46452.31s,32,47339,7476,rot_24,1,3.2245705,1.3803751,12.697777,0.4908465
46463.83s,32,47339,7476,rot_25,4,15.999999,16,0,0.0000000004656613
46555.31s,32,47339,7476,rot_16,3,16,16,0,0.000000000939508
47434.53s,32,47339,7476,rot_24,2,13.686447,11.881695,0.5,0.0625
47448.88s,32,47339,7476,rot_25,5,15.999999,16,0,0.0000000004656613
47788.76s,32,47339,7476,rot_16,4,15.999999,16,0,0.00000000011641532
48421.48s,32,47339,7476,rot_24,3,16.000002,15.999929,0.00000018579564,0.0000009536743
48433.29s,32,47339,7476,rot_25,6,15.999999,16,0,0.00000000023283064
48721.70s,32,47339,7476,rot_26,1,3.2245705,1.3803751,12.697777,0.4908465
49025.40s,32,47339,7476,rot_16,5,15.999999,16,0,0.00000000023283064
49394.07s,32,47339,7476,rot_24,4,15.999999,16,0,0.00000000011641532
49705.90s,32,47339,7476,rot_26,2,12.476392,10.177851,2,0.125
50258.32s,32,47339,7476,rot_16,6,15.999999,16,0,0.00000000011641532
50375.70s,32,47339,7476,rot_24,5,15.999999,16,0,0.00000000023283064
50551.73s,32,47339,7476,rot_29,1,3.2245705,1.3803751,12.697777,0.4908465
50693.01s,32,47339,7476,rot_26,3,15.999996,15.9988575,0.0000003302609,0.0000038146973
51355.25s,32,47339,7476,rot_24,6,15.999999,16,0,0.00000000011641532
51486.79s,32,47339,7476,rot_29,2,9.954131,7.3590255,4.7564316,0.32958984
51647.16s,32,47339,7476,rot_31,1,3.2245705,1.3803751,12.697777,0.4908465
51681.06s,32,47339,7476,rot_26,4,15.999999,16,0,0.00000000011641532
52424.69s,32,47339,7476,rot_29,3,14.524399,12.305692,0.25,0.03125
52499.41s,32,47339,7476,rot_31,2,8.057756,5.4954786,7.265625,0.4195646
52663.73s,32,47339,7476,rot_26,5,15.999999,16,0,0.00000000023283064
53359.47s,32,47339,7476,rot_31,3,12.174562,9.14627,2.625,0.22276306
53362.68s,32,47339,7476,rot_29,4,15.995161,15.928274,0.000027711576,0.00012207031
53658.64s,32,47339,7476,rot_26,6,15.999999,16,0,0.00000000011641532
53945.22s,32,47339,7476,rot_27,1,3.2245705,1.3803751,12.697777,0.4908465
54214.59s,32,47339,7476,rot_31,4,14.8555975,12.105181,0.25,0.03125
54299.28s,32,47339,7476,rot_29,5,16,16,0,0.00000000023283064
54911.69s,32,47339,7476,rot_27,2,11.513931,9.180416,3.3046875,0.25
55075.00s,32,47339,7476,rot_31,5,15.879654,14.533095,0.03125,0.00390625
55237.57s,32,47339,7476,rot_29,6,15.999999,16,0,0.00000000011641532
55527.54s,32,47339,7476,rot_30,1,3.2245705,1.3803751,12.697777,0.4908465
55882.48s,32,47339,7476,rot_27,3,15.967499,15.5807705,0.0009880066,0.0009765625
55923.44s,32,47339,7476,rot_31,6,15.998064,15.884884,0.00007247925,0.00024414063
56220.69s,32,47339,7476,rot_32,1,3.2245705,1.3803751,12.697777,0.4908465
56410.49s,32,47339,7476,rot_30,2,9.03107,6.377145,6.0390625,0.37231445
56844.85s,32,47339,7476,rot_27,4,16,16,0.000000029336661,0.000000014901161
57073.83s,32,47339,7476,rot_32,2,7.4028616,4.8172965,8.032928,0.4418335
57288.83s,32,47339,7476,rot_30,3,13.477718,10.67924,1,0.125
57801.64s,32,47339,7476,rot_27,5,15.999999,16,0,0.00000000011641532
57924.05s,32,47339,7476,rot_32,3,10.464958,7.1591125,4.28633,0.29492188
58172.46s,32,47339,7476,rot_30,4,15.710629,14.35479,0.03125,0.0078125
58774.30s,32,47339,7476,rot_32,4,13.217426,9.559963,1.75,0.15625
58780.20s,32,47339,7476,rot_27,6,15.999999,16,0,0.00000000011641532
59056.84s,32,47339,7476,rot_30,5,15.999999,15.989836,0.00000043024636,0.000015258789
59067.68s,32,47339,7476,rot_28,1,3.2245705,1.3803751,12.697777,0.4908465
59626.82s,32,47339,7476,rot_32,5,14.97645,11.836742,0.5,0.0625
59930.56s,32,47339,7476,rot_30,6,16,16,0,0
59996.81s,32,47339,7476,rot_28,2,10.543813,8.194118,4.3828125,0.31054688
60475.47s,32,47339,7476,rot_32,6,15.636958,13.37605,0.125,0.015625
60930.17s,32,47339,7476,rot_28,3,15.458433,14.056246,0.03125,0.0078125
61859.64s,32,47339,7476,rot_28,4,16,16,0.000000016640115,0.000000059604645
62794.72s,32,47339,7476,rot_28,5,16,16,0,0
63723.91s,32,47339,7476,rot_28,6,16,16,0,0
