prev,freqs
-162.0, [(81, 1.0)]
-89.0, [(0, 0.5), (178, 0.5)]
-81.0, [(0, 0.5), (162, 0.5)]
-46.0, [(23, 1.0)]
-44.0, [(22, 1.0)]
-42.0, [(21, 0.5), (42, 0.5)]
-40.0, [(20, 0.8), (40, 0.2)]
-38.0, [(18, 0.09090909090909091), (19, 0.7272727272727273), (23, 0.09090909090909091), (26, 0.09090909090909091)]
-37.0, [(17, 0.5), (40, 0.5)]
-36.0, [(18, 0.41509433962264153), (36, 0.5849056603773585)]
-34.0, [(17, 0.4), (34, 0.6)]
-32.0, [(16, 0.6666666666666666), (34, 0.3333333333333333)]
-31.0, [(13, 1.0)]
-30.0, [(15, 1.0)]
-28.0, [(14, 1.0)]
-26.0, [(13, 1.0)]
-24.0, [(1, 0.2), (12, 0.2), (23, 0.6)]
-23.0, [(-23, 0.007874015748031496), (-1, 0.007874015748031496), (0, 0.47244094488188976), (22, 0.007874015748031496), (23, 0.36220472440944884), (25, 0.007874015748031496), (26, 0.007874015748031496), (28, 0.007874015748031496), (30, 0.007874015748031496), (46, 0.11023622047244094)]
-22.0, [(-18, 0.014084507042253521), (0, 0.43661971830985913), (21, 0.014084507042253521), (22, 0.29577464788732394), (23, 0.014084507042253521), (26, 0.028169014084507043), (28, 0.014084507042253521), (32, 0.014084507042253521), (44, 0.16901408450704225)]
-21.0, [(-21, 0.0113314447592068), (-1, 0.0028328611898017), (0, 0.49291784702549574), (1, 0.0028328611898017), (19, 0.0028328611898017), (21, 0.3937677053824363), (22, 0.0056657223796034), (23, 0.0028328611898017), (24, 0.0028328611898017), (25, 0.0028328611898017), (40, 0.0056657223796034), (42, 0.07365439093484419)]
-20.0, [(-20, 0.0125), (0, 0.49375), (17, 0.00625), (19, 0.00625), (20, 0.38125), (21, 0.00625), (22, 0.00625), (28, 0.00625), (40, 0.08125)]
-19.0, [(-18, 0.006097560975609756), (-1, 0.006097560975609756), (0, 0.47560975609756095), (1, 0.006097560975609756), (2, 0.006097560975609756), (17, 0.006097560975609756), (18, 0.024390243902439025), (19, 0.3597560975609756), (38, 0.10975609756097561)]
-18.0, [(-23, 0.001422475106685633), (-18, 0.001422475106685633), (-14, 0.001422475106685633), (-1, 0.004267425320056899), (0, 0.5035561877667141), (1, 0.001422475106685633), (18, 0.42532005689900426), (19, 0.001422475106685633), (21, 0.001422475106685633), (36, 0.05832147937411095)]
-17.0, [(-17, 0.004081632653061225), (-1, 0.004081632653061225), (0, 0.4775510204081633), (1, 0.004081632653061225), (13, 0.012244897959183673), (16, 0.0163265306122449), (17, 0.363265306122449), (19, 0.00816326530612245), (34, 0.11020408163265306)]
-16.0, [(-16, 0.010869565217391304), (-2, 0.010869565217391304), (0, 0.4891304347826087), (8, 0.010869565217391304), (16, 0.34782608695652173), (17, 0.010869565217391304), (32, 0.11956521739130435)]
-15.0, [(0, 0.46511627906976744), (1, 0.011627906976744186), (7, 0.011627906976744186), (14, 0.011627906976744186), (15, 0.3488372093023256), (30, 0.1511627906976744)]
-14.0, [(-1, 0.009900990099009901), (0, 0.43564356435643564), (8, 0.009900990099009901), (9, 0.009900990099009901), (10, 0.0297029702970297), (11, 0.009900990099009901), (14, 0.37623762376237624), (28, 0.1188118811881188)]
-13.0, [(0, 0.49038461538461536), (7, 0.009615384615384616), (8, 0.009615384615384616), (9, 0.009615384615384616), (10, 0.009615384615384616), (12, 0.009615384615384616), (13, 0.28846153846153844), (26, 0.17307692307692307)]
-12.0, [(0, 0.48314606741573035), (6, 0.0449438202247191), (12, 0.29213483146067415), (24, 0.1797752808988764)]
-10.0, [(0, 0.6), (20, 0.4)]
-9.0, [(0, 1.0)]
-8.0, [(0, 0.4), (4, 0.2), (8, 0.2), (16, 0.2)]
-7.0, [(0, 0.42857142857142855), (7, 0.2857142857142857), (14, 0.2857142857142857)]
-6.0, [(-6, 0.10526315789473684), (0, 0.10526315789473684), (3, 0.3684210526315789), (6, 0.3684210526315789), (12, 0.05263157894736842)]
-5.0, [(-5, 0.1), (0, 0.2), (5, 0.4), (10, 0.1), (18, 0.2)]
-4.0, [(-4, 0.0625), (0, 0.375), (2, 0.25), (4, 0.25), (8, 0.0625)]
-3.0, [(0, 0.6666666666666666), (1, 0.16666666666666666), (6, 0.16666666666666666)]
