function,gamma,x0,delay,pools,round,test,score,passed
rot1,444592,-2986,572059897,400000,2,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,2,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,2,Runs,9.822532067237895e-86,False
rot1,444592,-2986,572059897,400000,2,Longest Run Ones In A Block,9.829547113046063e-12,False
rot1,444592,-2986,572059897,400000,2,Discrete Fourier Transform,0.0,False
rot1,444592,-2986,572059897,400000,2,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,2,Random Excursion Variant,0.2621658633131665,False
rot1,444592,-2986,572059897,400000,3,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,3,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,3,Runs,8.682632781236793e-18,False
rot1,444592,-2986,572059897,400000,3,Longest Run Ones In A Block,1.6124836991108728e-17,False
rot1,444592,-2986,572059897,400000,3,Discrete Fourier Transform,8.114862355e-315,False
rot1,444592,-2986,572059897,400000,3,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,3,Random Excursion Variant,0.37059574901574466,False
rot1,444592,-2986,572059897,400000,4,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,4,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,4,Runs,0.5244352900133856,True
rot1,444592,-2986,572059897,400000,4,Longest Run Ones In A Block,0.016389148438335405,True
rot1,444592,-2986,572059897,400000,4,Discrete Fourier Transform,1.4609316459876051e-18,False
rot1,444592,-2986,572059897,400000,4,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,4,Random Excursion Variant,1.0057807381940511,True
rot1,444592,-2986,572059897,400000,5,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,5,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,5,Runs,0.12236740684300902,True
rot1,444592,-2986,572059897,400000,5,Longest Run Ones In A Block,0.03708613247794876,True
rot1,444592,-2986,572059897,400000,5,Discrete Fourier Transform,2.2885696973679996e-14,False
rot1,444592,-2986,572059897,400000,5,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,5,Random Excursion Variant,0.32163667206857677,True
rot1,444592,-2986,572059897,400000,6,Monobit,1.5933491791668543e-175,False
rot1,444592,-2986,572059897,400000,6,Frequency Within Block,2.0952957787888854e-128,False
rot1,444592,-2986,572059897,400000,6,Runs,0.3764294066741316,True
rot1,444592,-2986,572059897,400000,6,Longest Run Ones In A Block,0.9975370044398272,True
rot1,444592,-2986,572059897,400000,6,Discrete Fourier Transform,0.012846463470446705,True
rot1,444592,-2986,572059897,400000,6,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,6,Random Excursion Variant,0.21992330617031294,True
rot1,444592,-2986,572059897,400000,7,Monobit,9.004649628111493e-36,False
rot1,444592,-2986,572059897,400000,7,Frequency Within Block,2.6991054065841934e-16,False
rot1,444592,-2986,572059897,400000,7,Runs,0.8844874850093399,True
rot1,444592,-2986,572059897,400000,7,Longest Run Ones In A Block,0.43821193846588546,True
rot1,444592,-2986,572059897,400000,7,Discrete Fourier Transform,0.6890596220687075,True
rot1,444592,-2986,572059897,400000,7,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,7,Random Excursion Variant,0.6463269734452094,True
rot2,444592,-2986,572059897,400000,0,Monobit,0.0,False
rot2,444592,-2986,572059897,400000,0,Frequency Within Block,0.0,False
rot2,444592,-2986,572059897,400000,0,Runs,0.0,False
rot2,444592,-2986,572059897,400000,0,Longest Run Ones In A Block,4.291326632016393e-69,False
rot2,444592,-2986,572059897,400000,0,Discrete Fourier Transform,0.0,False
rot2,444592,-2986,572059897,400000,0,Cumulative Sums,0.0,False
rot2,444592,-2986,572059897,400000,0,Random Excursion Variant,0.15298910569676683,False
rot2,444592,-2986,572059897,400000,1,Monobit,0.0,False
rot2,444592,-2986,572059897,400000,1,Frequency Within Block,0.0,False
rot2,444592,-2986,572059897,400000,1,Runs,0.0,False
rot2,444592,-2986,572059897,400000,1,Longest Run Ones In A Block,1.3689716250015127e-50,False
rot2,444592,-2986,572059897,400000,1,Discrete Fourier Transform,0.0,False
rot2,444592,-2986,572059897,400000,1,Cumulative Sums,0.0,False
rot2,444592,-2986,572059897,400000,1,Random Excursion Variant,0.27103680677058006,True
rot2,444592,-2986,572059897,400000,2,Monobit,0.0,False
rot2,444592,-2986,572059897,400000,2,Frequency Within Block,0.0,False
