function,gamma,x0,delay,pools,round,test,score,passed
siphash,444592,-2986,572059897,100000,0,Monobit,0.38256249725238484,True
siphash,444592,-2986,572059897,100000,0,Frequency Within Block,0.31010689474041736,True
siphash,444592,-2986,572059897,100000,0,Runs,0.5787326999171059,True
siphash,444592,-2986,572059897,100000,0,Longest Run Ones In A Block,0.6829617641329233,True
siphash,444592,-2986,572059897,100000,0,Discrete Fourier Transform,0.7042334590109698,True
siphash,444592,-2986,572059897,100000,0,Cumulative Sums,0.5480532638739416,True
siphash,444592,-2986,572059897,100000,0,Random Excursion Variant,1.4749751793828974,True
siphash,444592,-2986,572059897,100000,1,Monobit,0.6188187896730117,True
siphash,444592,-2986,572059897,100000,1,Frequency Within Block,0.34375827451316726,True
siphash,444592,-2986,572059897,100000,1,Runs,0.3447215893364012,True
siphash,444592,-2986,572059897,100000,1,Longest Run Ones In A Block,0.7065265346169234,True
siphash,444592,-2986,572059897,100000,1,Discrete Fourier Transform,0.5314154352225282,True
siphash,444592,-2986,572059897,100000,1,Cumulative Sums,0.7036586338105675,True
siphash,444592,-2986,572059897,100000,1,Random Excursion Variant,0.5008585909185038,False
siphash,444592,-2986,572059897,100000,2,Monobit,0.3610144521078079,True
siphash,444592,-2986,572059897,100000,2,Frequency Within Block,0.6020804164828152,True
siphash,444592,-2986,572059897,100000,2,Runs,0.169219588728951,True
siphash,444592,-2986,572059897,100000,2,Longest Run Ones In A Block,0.8701110209095818,True
siphash,444592,-2986,572059897,100000,2,Discrete Fourier Transform,0.9345844742959377,True
siphash,444592,-2986,572059897,100000,2,Cumulative Sums,0.5608720137728335,True
siphash,444592,-2986,572059897,100000,2,Random Excursion Variant,0.16829414914571972,False
siphash,444592,-2986,572059897,100000,3,Monobit,0.7653100721380948,True
siphash,444592,-2986,572059897,100000,3,Frequency Within Block,0.8065128752686221,True
siphash,444592,-2986,572059897,100000,3,Runs,0.22597933786276603,True
siphash,444592,-2986,572059897,100000,3,Longest Run Ones In A Block,0.022389307721803014,True
siphash,444592,-2986,572059897,100000,3,Discrete Fourier Transform,0.44465638952186,True
siphash,444592,-2986,572059897,100000,3,Cumulative Sums,0.9934486096530106,True
siphash,444592,-2986,572059897,100000,3,Random Excursion Variant,0.7650118506472687,True
siphash,444592,-2986,572059897,100000,4,Monobit,0.7163351965477975,True
siphash,444592,-2986,572059897,100000,4,Frequency Within Block,0.6116559450034927,True
siphash,444592,-2986,572059897,100000,4,Runs,0.07329061255431071,True
siphash,444592,-2986,572059897,100000,4,Longest Run Ones In A Block,0.3664130012093292,True
siphash,444592,-2986,572059897,100000,4,Discrete Fourier Transform,0.4477185832465328,True
siphash,444592,-2986,572059897,100000,4,Cumulative Sums,0.9458888845361355,True
siphash,444592,-2986,572059897,100000,4,Random Excursion Variant,0.367873514556405,True
siphash,444592,-2986,572059897,100000,5,Monobit,0.8870876544452128,True
siphash,444592,-2986,572059897,100000,5,Frequency Within Block,0.9008947938244631,True
siphash,444592,-2986,572059897,100000,5,Runs,0.9581013502728101,True
siphash,444592,-2986,572059897,100000,5,Longest Run Ones In A Block,0.3392280348433074,True
siphash,444592,-2986,572059897,100000,5,Discrete Fourier Transform,0.9468296156542229,True
siphash,444592,-2986,572059897,100000,5,Cumulative Sums,0.886810367047981,True
siphash,444592,-2986,572059897,100000,5,Random Excursion Variant,0.5781243595479425,True
siphash,444592,-2986,572059897,100000,6,Monobit,0.07028074182927913,True
siphash,444592,-2986,572059897,100000,6,Frequency Within Block,0.3741373342252659,True
siphash,444592,-2986,572059897,100000,6,Runs,0.19518288375650278,True
siphash,444592,-2986,572059897,100000,6,Longest Run Ones In A Block,0.005624597305414206,False
siphash,444592,-2986,572059897,100000,6,Discrete Fourier Transform,0.9672646976407532,True
siphash,444592,-2986,572059897,100000,6,Cumulative Sums,0.059848301849734775,True
siphash,444592,-2986,572059897,100000,6,Random Excursion Variant,0.43137720349432684,True
siphash,444592,-2986,572059897,100000,7,Monobit,0.053640714272191116,True
siphash,444592,-2986,572059897,100000,7,Frequency Within Block,0.17399568998004697,True
siphash,444592,-2986,572059897,100000,7,Runs,0.3521848580121464,True
siphash,444592,-2986,572059897,100000,7,Longest Run Ones In A Block,0.3439876817946057,True
siphash,444592,-2986,572059897,100000,7,Discrete Fourier Transform,0.670267421231878,True
siphash,444592,-2986,572059897,100000,7,Cumulative Sums,0.08308723544552032,True
siphash,444592,-2986,572059897,100000,7,Random Excursion Variant,0.4312111913786802,False
rot1,444592,-2986,572059897,400000,0,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,0,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,0,Runs,4.643000220466877e-158,False
rot1,444592,-2986,572059897,400000,0,Longest Run Ones In A Block,3.9699050351984463e-16,False
rot1,444592,-2986,572059897,400000,0,Discrete Fourier Transform,0.0,False
rot1,444592,-2986,572059897,400000,0,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,0,Random Excursion Variant,0.943175813226207,False
rot1,444592,-2986,572059897,400000,1,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,1,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,1,Runs,1.798243562879408e-185,False
rot1,444592,-2986,572059897,400000,1,Longest Run Ones In A Block,3.2746412530841405e-164,False
rot1,444592,-2986,572059897,400000,1,Discrete Fourier Transform,0.0,False
rot1,444592,-2986,572059897,400000,1,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,1,Random Excursion Variant,0.41402537075092716,True
rot1,444592,-2986,572059897,400000,2,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,2,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,2,Runs,7.4292345977824576e-90,False
rot1,444592,-2986,572059897,400000,2,Longest Run Ones In A Block,3.3606142369817804e-12,False
rot1,444592,-2986,572059897,400000,2,Discrete Fourier Transform,0.0,False
rot1,444592,-2986,572059897,400000,2,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,2,Random Excursion Variant,0.18697691485595191,True
