function,gamma,x0,delay,pools,round,test,score,passed
siphash,444592,-2986,572059897,100000,0,Monobit,0.02371082856482079,True
siphash,444592,-2986,572059897,100000,0,Frequency Within Block,0.131433677068916,True
siphash,444592,-2986,572059897,100000,0,Runs,0.8408924357934943,True
siphash,444592,-2986,572059897,100000,0,Longest Run Ones In A Block,0.11353286839025545,True
siphash,444592,-2986,572059897,100000,0,Discrete Fourier Transform,0.0032341645750055344,False
siphash,444592,-2986,572059897,100000,0,Cumulative Sums,0.026354762525949038,True
siphash,444592,-2986,572059897,100000,0,Random Excursion Variant,0.3950247919349246,True
siphash,444592,-2986,572059897,100000,1,Monobit,0.762751793490811,True
siphash,444592,-2986,572059897,100000,1,Frequency Within Block,0.5153354670565726,True
siphash,444592,-2986,572059897,100000,1,Runs,0.7030558429161197,True
siphash,444592,-2986,572059897,100000,1,Longest Run Ones In A Block,0.2072187873016604,True
siphash,444592,-2986,572059897,100000,1,Discrete Fourier Transform,0.42952582293900193,True
siphash,444592,-2986,572059897,100000,1,Cumulative Sums,0.7006304601142167,True
siphash,444592,-2986,572059897,100000,1,Random Excursion Variant,1.27075246845597,True
siphash,444592,-2986,572059897,100000,2,Monobit,0.09222821766057111,True
siphash,444592,-2986,572059897,100000,2,Frequency Within Block,0.1820086124019025,True
siphash,444592,-2986,572059897,100000,2,Runs,0.3484682401989825,True
siphash,444592,-2986,572059897,100000,2,Longest Run Ones In A Block,0.09447733841209711,True
siphash,444592,-2986,572059897,100000,2,Discrete Fourier Transform,0.12381222382133207,True
siphash,444592,-2986,572059897,100000,2,Cumulative Sums,0.10582719914561123,True
siphash,444592,-2986,572059897,100000,2,Random Excursion Variant,0.2807027183694543,True
siphash,444592,-2986,572059897,100000,3,Monobit,0.7781393800675833,True
siphash,444592,-2986,572059897,100000,3,Frequency Within Block,0.2230068410008654,True
siphash,444592,-2986,572059897,100000,3,Runs,0.2801131317352298,True
