function,gamma,x0,delay,pools,round,test,score,passed
siphash,444592,-2986,572059897,100000,0,Monobit,0.8387581679779309,True
siphash,444592,-2986,572059897,100000,0,Frequency Within Block,0.5715093115340532,True
siphash,444592,-2986,572059897,100000,0,Runs,0.9492052889686865,True
siphash,444592,-2986,572059897,100000,0,Longest Run Ones In A Block,0.4579997461969355,True
siphash,444592,-2986,572059897,100000,0,Discrete Fourier Transform,0.8094738052675985,True
siphash,444592,-2986,572059897,100000,0,Cumulative Sums,0.2669584156393139,True
siphash,444592,-2986,572059897,100000,0,Random Excursion Variant,0.789868248180938,True
siphash,444592,-2986,572059897,100000,1,Monobit,0.7567925898647351,True
siphash,444592,-2986,572059897,100000,1,Frequency Within Block,0.7110096610259229,True
siphash,444592,-2986,572059897,100000,1,Runs,0.936772690498377,True
siphash,444592,-2986,572059897,100000,1,Longest Run Ones In A Block,0.16333161498530643,True
siphash,444592,-2986,572059897,100000,1,Discrete Fourier Transform,0.4416061792843745,True
siphash,444592,-2986,572059897,100000,1,Cumulative Sums,0.8555721818875972,True
siphash,444592,-2986,572059897,100000,1,Random Excursion Variant,0.7669135779203782,False
siphash,444592,-2986,572059897,100000,2,Monobit,0.5587280842954925,True
siphash,444592,-2986,572059897,100000,2,Frequency Within Block,0.5599459280142192,True
siphash,444592,-2986,572059897,100000,2,Runs,0.7307234271484364,True
siphash,444592,-2986,572059897,100000,2,Longest Run Ones In A Block,0.8470583289051004,True
siphash,444592,-2986,572059897,100000,2,Discrete Fourier Transform,0.5015736246631841,True
siphash,444592,-2986,572059897,100000,2,Cumulative Sums,0.5705736681212037,True
siphash,444592,-2986,572059897,100000,2,Random Excursion Variant,0.4795190046635227,False
siphash,444592,-2986,572059897,100000,3,Monobit,0.3396783282606761,True
siphash,444592,-2986,572059897,100000,3,Frequency Within Block,0.7110223972919752,True
siphash,444592,-2986,572059897,100000,3,Runs,0.7051295902170366,True
siphash,444592,-2986,572059897,100000,3,Longest Run Ones In A Block,0.780300587949828,True
siphash,444592,-2986,572059897,100000,3,Discrete Fourier Transform,0.8938950873079028,True
siphash,444592,-2986,572059897,100000,3,Cumulative Sums,0.46424997012826863,True
siphash,444592,-2986,572059897,100000,3,Random Excursion Variant,0.6003336048215447,True
siphash,444592,-2986,572059897,100000,4,Monobit,0.3687062865170385,True
siphash,444592,-2986,572059897,100000,4,Frequency Within Block,0.25071688079862153,True
siphash,444592,-2986,572059897,100000,4,Runs,0.13484568238217332,True
siphash,444592,-2986,572059897,100000,4,Longest Run Ones In A Block,0.44818237382797943,True
siphash,444592,-2986,572059897,100000,4,Discrete Fourier Transform,0.08477219677924014,True
siphash,444592,-2986,572059897,100000,4,Cumulative Sums,0.38428244764386,True
siphash,444592,-2986,572059897,100000,4,Random Excursion Variant,0.31391792128633506,True
siphash,444592,-2986,572059897,100000,5,Monobit,0.7398469022508636,True
siphash,444592,-2986,572059897,100000,5,Frequency Within Block,0.9879074399790336,True
siphash,444592,-2986,572059897,100000,5,Runs,0.14767511123670385,True
siphash,444592,-2986,572059897,100000,5,Longest Run Ones In A Block,0.8471786677718991,True
siphash,444592,-2986,572059897,100000,5,Discrete Fourier Transform,0.4950646961304833,True
siphash,444592,-2986,572059897,100000,5,Cumulative Sums,0.4747946524165064,True
siphash,444592,-2986,572059897,100000,5,Random Excursion Variant,0.2609793597436545,True
siphash,444592,-2986,572059897,100000,6,Monobit,0.24221691770570997,True
siphash,444592,-2986,572059897,100000,6,Frequency Within Block,0.31264014126439155,True
