function,gamma,x0,delay,pools,round,test,score,passed
siphash,444592,-2986,572059897,100000,0,Monobit,0.7678709135422375,True
siphash,444592,-2986,572059897,100000,0,Frequency Within Block,0.5210393556047694,True
siphash,444592,-2986,572059897,100000,0,Runs,0.5823028877718975,True
siphash,444592,-2986,572059897,100000,0,Longest Run Ones In A Block,0.5841407825272893,True
siphash,444592,-2986,572059897,100000,0,Discrete Fourier Transform,0.18396611977551475,True
siphash,444592,-2986,572059897,100000,0,Cumulative Sums,0.6034293565928975,True
siphash,444592,-2986,572059897,100000,0,Random Excursion Variant,0.4806902046699938,False
siphash,444592,-2986,572059897,100000,1,Monobit,0.7221889726670366,True
siphash,444592,-2986,572059897,100000,1,Frequency Within Block,0.44296337087192916,True
siphash,444592,-2986,572059897,100000,1,Runs,0.12284105699941872,True
siphash,444592,-2986,572059897,100000,1,Longest Run Ones In A Block,0.2768411693502472,True
siphash,444592,-2986,572059897,100000,1,Discrete Fourier Transform,0.5517983892660999,True
siphash,444592,-2986,572059897,100000,1,Cumulative Sums,0.8591878653106189,True
siphash,444592,-2986,572059897,100000,1,Random Excursion Variant,0.2814279061849534,True
siphash,444592,-2986,572059897,100000,2,Monobit,0.1946589114126912,True
siphash,444592,-2986,572059897,100000,2,Frequency Within Block,0.1119714754163502,True
siphash,444592,-2986,572059897,100000,2,Runs,0.9769514187173499,True
siphash,444592,-2986,572059897,100000,2,Longest Run Ones In A Block,0.18747979218501054,True
siphash,444592,-2986,572059897,100000,2,Discrete Fourier Transform,0.2906221827662504,True
siphash,444592,-2986,572059897,100000,2,Cumulative Sums,0.21937753030726492,True
siphash,444592,-2986,572059897,100000,2,Random Excursion Variant,0.5042874694179932,True
siphash,444592,-2986,572059897,100000,3,Monobit,0.9705686294771025,True
siphash,444592,-2986,572059897,100000,3,Frequency Within Block,0.3272759867427122,True
siphash,444592,-2986,572059897,100000,3,Runs,0.5976997415735648,True
siphash,444592,-2986,572059897,100000,3,Longest Run Ones In A Block,0.062048525773594924,True
siphash,444592,-2986,572059897,100000,3,Discrete Fourier Transform,0.6553801350773087,True
siphash,444592,-2986,572059897,100000,3,Cumulative Sums,0.9318159660551459,True
siphash,444592,-2986,572059897,100000,3,Random Excursion Variant,0.8525690735631184,False
siphash,444592,-2986,572059897,100000,4,Monobit,0.93139597224178,True
siphash,444592,-2986,572059897,100000,4,Frequency Within Block,0.5088739020919885,True
siphash,444592,-2986,572059897,100000,4,Runs,0.8641804737430815,True
siphash,444592,-2986,572059897,100000,4,Longest Run Ones In A Block,0.12143885724158075,True
siphash,444592,-2986,572059897,100000,4,Discrete Fourier Transform,0.29297034300597635,True
siphash,444592,-2986,572059897,100000,4,Cumulative Sums,0.6557480531455989,True
siphash,444592,-2986,572059897,100000,4,Random Excursion Variant,0.37558823252117074,True
siphash,444592,-2986,572059897,100000,5,Monobit,0.41825255247146,True
siphash,444592,-2986,572059897,100000,5,Frequency Within Block,0.17758051972253405,True
siphash,444592,-2986,572059897,100000,5,Runs,0.044327856760656634,True
siphash,444592,-2986,572059897,100000,5,Longest Run Ones In A Block,0.8618576034599498,True
siphash,444592,-2986,572059897,100000,5,Discrete Fourier Transform,0.615154541669328,True
siphash,444592,-2986,572059897,100000,5,Cumulative Sums,0.4644756928347721,True
siphash,444592,-2986,572059897,100000,5,Random Excursion Variant,0.5146799919722524,True
siphash,444592,-2986,572059897,100000,6,Monobit,0.4444292123464359,True
siphash,444592,-2986,572059897,100000,6,Frequency Within Block,0.6405024894027447,True
siphash,444592,-2986,572059897,100000,6,Runs,0.30880246426660785,True
siphash,444592,-2986,572059897,100000,6,Longest Run Ones In A Block,0.8561036035692269,True
siphash,444592,-2986,572059897,100000,6,Discrete Fourier Transform,0.03455667787226056,True
siphash,444592,-2986,572059897,100000,6,Cumulative Sums,0.507185728521085,True
siphash,444592,-2986,572059897,100000,6,Random Excursion Variant,0.43040983175918235,True
siphash,444592,-2986,572059897,100000,7,Monobit,0.9136392984147017,True
siphash,444592,-2986,572059897,100000,7,Frequency Within Block,0.21491479997934088,True
siphash,444592,-2986,572059897,100000,7,Runs,0.8005137598133246,True
siphash,444592,-2986,572059897,100000,7,Longest Run Ones In A Block,0.18441020519639026,True
siphash,444592,-2986,572059897,100000,7,Discrete Fourier Transform,0.13282401443329558,True
siphash,444592,-2986,572059897,100000,7,Cumulative Sums,0.579359485982698,True
siphash,444592,-2986,572059897,100000,7,Random Excursion Variant,0.8085478086324795,True
rot1,444592,-2986,572059897,400000,0,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,0,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,0,Runs,4.620747098156487e-189,False
rot1,444592,-2986,572059897,400000,0,Longest Run Ones In A Block,1.4896768634158503e-14,False
rot1,444592,-2986,572059897,400000,0,Discrete Fourier Transform,0.0,False
rot1,444592,-2986,572059897,400000,0,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,0,Random Excursion Variant,0.19133942507480678,False
rot1,444592,-2986,572059897,400000,1,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,1,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,1,Runs,3.182320415528407e-188,False
rot1,444592,-2986,572059897,400000,1,Longest Run Ones In A Block,3.2746412530841405e-164,False
rot1,444592,-2986,572059897,400000,1,Discrete Fourier Transform,0.0,False
rot1,444592,-2986,572059897,400000,1,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,1,Random Excursion Variant,0.2673200404233581,True
rot1,444592,-2986,572059897,400000,2,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,2,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,2,Runs,8.36431903398424e-82,False
rot1,444592,-2986,572059897,400000,2,Longest Run Ones In A Block,6.77867859428838e-12,False
rot1,444592,-2986,572059897,400000,2,Discrete Fourier Transform,0.0,False
rot1,444592,-2986,572059897,400000,2,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,2,Random Excursion Variant,0.6238123741499686,False
rot1,444592,-2986,572059897,400000,3,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,3,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,3,Runs,3.6294799750931126e-10,False
rot1,444592,-2986,572059897,400000,3,Longest Run Ones In A Block,8.361372123950869e-12,False
